Plate,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Payment Amount,Amount Due,Violation Status
28440JU,8520142280,10/19/2017,01:17P,NO STANDING-HOTEL LOADING,,115.00,115.00,0.00,HEARING HELD-GUILTY
86838JT,8526490515,08/10/2017,01:46P,REG. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
11101JC,4651204788,12/07/2018,04:14P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
86838JT,8791852377,10/10/2019,10:36A,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
72226JM,8534764992,04/26/2017,11:35A,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
28426JU,8521491657,08/17/2017,10:01A,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,HEARING HELD-NOT GUILTY
GRU5328,8511392853,07/17/2017,04:58P,EXPIRED MUNI METER,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
45450MG,8303048960,11/28/2016,11:42A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
14620JZ,8303524239,11/16/2016,01:48P,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
48549JW,7882628645,02/06/2017,02:43P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
48660JW,8781853087,09/18/2019,10:18A,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
65572JU,8521296757,09/18/2017,01:23P,NO STANDING-DAY/TIME LIMITS,,115.00,125.00,0.00,HEARING HELD-GUILTY
67300JV,8782700746,09/20/2019,09:38A,NO PARKING-STREET CLEANING,,45.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
41748MH,8508530018,11/08/2017,01:08P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
14620JZ,8783505570,10/01/2019,08:25A,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,8783551700,09/20/2019,09:31A,NO PARKING-STREET CLEANING,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
29765MA,8521789889,10/05/2017,10:57A,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
64999JV,8786706147,10/07/2019,12:47P,DOUBLE PARKING,,115.00,35.00,0.00,HEARING HELD-GUILTY REDUCTION
84067JW,8786707267,10/10/2019,12:49P,NO PARKING-DAY/TIME LIMITS,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
GRU5328,8507838730,01/12/2018,10:43A,FAIL TO DSPLY MUNI METER RECPT,,65.00,75.00,0.00,HEARING HELD-GUILTY
19227MC,8484946095,08/03/2017,09:49A,NO PARKING-EXC. AUTH. VEHICLE,,65.00,65.00,0.00,
64999JV,8452032602,01/03/2017,09:13A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
26364ME,8522532011,08/22/2017,10:04A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
22409MB,8483608911,01/06/2017,01:04P,FIRE HYDRANT,,115.00,115.00,0.00,
57273MD,8470531323,01/27/2017,10:39A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
69065ME,8507317212,03/23/2018,01:42P,SIDEWALK,,115.00,115.00,0.00,
57273MD,8471563575,01/12/2017,10:41A,NO PARKING-EXC. AUTH. VEHICLE,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
98853JZ,8434021791,11/22/2016,09:39A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
98853JZ,8436016312,11/17/2016,10:20A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
91731JA,8473912135,01/19/2017,11:12A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
57273MD,8495921935,08/10/2017,10:58A,FAIL TO DSPLY MUNI METER RECPT,,65.00,0.00,0.00,ADMIN CLAIM GRANTED
98853JZ,8470522358,11/28/2016,11:17A,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
84067JW,8470522206,11/28/2016,10:10A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
48660JW,8699436063,07/26/2019,04:09P,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
19563MH,8512677211,07/06/2017,10:40A,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,HEARING HELD-NOT GUILTY
19563MH,8478751397,11/21/2016,12:36P,FAIL TO DSPLY MUNI METER RECPT,,65.00,0.00,0.00,ADMIN CLAIM GRANTED
57273MD,8479050937,11/18/2016,01:13P,FAIL TO DSPLY MUNI METER RECPT,,65.00,0.00,0.00,ADMIN CLAIM GRANTED
14620JZ,8481504968,01/31/2017,01:34P,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
11101JC,8482050874,11/22/2016,01:03P,FAIL TO DISP. MUNI METER RECPT,,65.00,0.00,0.00,ADMIN CLAIM GRANTED
11101JC,8482251545,12/02/2016,02:11P,FAIL TO DISP. MUNI METER RECPT,,65.00,0.00,0.00,ADMIN CLAIM GRANTED
28440JU,8512878976,06/15/2017,10:41A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
65572JU,8483612033,01/18/2017,02:41P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
26364ME,8512966804,06/20/2017,02:06P,EXPIRED MUNI METER,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
71878JT,8537826352,08/09/2017,01:59P,NO PARKING-EXC. AUTH. VEHICLE,,60.00,0.00,0.00,HEARING HELD-NOT GUILTY
11101JC,8537826390,08/09/2017,02:19P,FAIL TO DSPLY MUNI METER RECPT,,35.00,0.00,0.00,HEARING HELD-NOT GUILTY
29765MA,8483807804,02/05/2017,01:55P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
41748MH,8483859490,02/02/2017,02:41P,DOUBLE PARKING-MIDTOWN COMML,,115.00,115.00,0.00,HEARING HELD-GUILTY
29765MA,8492303189,12/23/2016,09:20A,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
26364ME,8513519686,05/25/2017,10:37A,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
64999JV,4651276623,12/11/2018,02:14P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
71878JT,8507703549,02/03/2017,10:03A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
64999JV,8490267418,01/19/2017,05:29P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
71860JT,8488905531,01/31/2017,04:09P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
14620JZ,8489510209,01/11/2017,04:36P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
28426JU,8500062678,04/16/2019,03:26P,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
GRF3643,8482654676,01/13/2017,03:39P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
29765MA,8481213962,03/16/2017,03:06P,NO PARKING-TAXI STAND,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
71860JT,8512990764,01/24/2018,01:56P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
57273MD,8500114710,08/29/2017,02:23P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
48660JW,8538275069,07/06/2017,12:08P,NON-COMPLIANCE W/ POSTED SIGN,,60.00,60.00,0.00,HEARING HELD-GUILTY
22409MB,8565554880,06/12/2017,09:53A,FAIL TO DSPLY MUNI METER RECPT,,35.00,0.00,0.00,HEARING HELD-NOT GUILTY
28440JU,8607909721,02/15/2019,03:22P,EXPIRED MUNI MTR-COMM MTR ZN,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
69065ME,8514323246,02/21/2018,11:35A,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
22409MB,8515825466,07/06/2017,09:40A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
57273MD,8495925588,09/12/2017,11:14A,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
67300JV,8519433145,04/17/2019,01:39P,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
22409MB,8516372297,06/19/2017,11:44A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
48660JW,8020617188,02/17/2017,12:27P,FAIL TO DSPLY MUNI METER RECPT,,35.00,45.00,0.00,HEARING HELD-GUILTY
14620JZ,8566504010,05/24/2017,04:31P,FAIL TO DSPLY MUNI METER RECPT,,35.00,0.00,0.00,HEARING HELD-NOT GUILTY
84067JW,8516603570,05/30/2017,02:22P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
91731JA,8491654460,01/17/2017,01:58A,NGHT PKG ON RESID STR-COMM VEH,,65.00,65.00,0.00,HEARING HELD-GUILTY
13743JK,8515584165,04/18/2019,10:39A,NO PARKING-DAY/TIME LIMITS,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
71860JT,8494361843,01/19/2017,12:27P,NO PARKING-STREET CLEANING,,45.00,45.00,0.00,HEARING HELD-GUILTY
72226JM,8517986880,06/19/2017,09:42A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
98853JZ,8504703095,01/23/2017,11:55A,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
72226JM,8504138124,08/25/2017,12:19P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
72226JM,8505202685,01/23/2017,10:31A,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
84067JW,8505904904,01/26/2017,12:07P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
19227MC,8519237885,06/23/2017,05:51P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
26364ME,8508253151,01/26/2017,11:28A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
26364ME,8519266393,06/23/2017,11:51A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
19227MC,8522085006,09/21/2017,09:47A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
22409MB,8531834430,09/27/2017,10:32A,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
26364ME,8521725000,06/14/2017,10:10A,NO PARKING-EXC. AUTH. VEHICLE,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
19563MH,8521830579,06/29/2017,10:40A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
48549JW,8532221580,09/22/2017,04:08P,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
97126JZ,8504459688,03/02/2017,10:22A,INSP. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
GRU5328,8522122740,06/23/2017,12:46P,EXPIRED MUNI METER,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
19227MC,8522133542,08/08/2017,12:41P,FIRE HYDRANT,,115.00,115.00,0.00,
48660JW,8520736592,07/11/2017,02:24P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
22409MB,8537176679,07/13/2017,01:44P,FAIL TO DSPLY MUNI METER RECPT,,35.00,0.00,0.00,HEARING HELD-NOT GUILTY
48660JW,8521340692,08/07/2017,01:27P,FIRE HYDRANT,,115.00,115.00,0.00,
45450MG,8506842190,09/12/2017,12:00P,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
86838JT,8522805570,06/08/2017,12:29P,NO PARKING-DAY/TIME LIMITS,,60.00,60.00,0.00,HEARING HELD-GUILTY
65572JU,8556445639,06/25/2018,05:24P,EXPIRED MUNI METER,,35.00,35.00,0.00,HEARING HELD-GUILTY
26364ME,8534187976,10/11/2017,01:47P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
64999JV,8507809108,09/01/2017,01:52P,FAIL TO DSPLY MUNI METER RECPT,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
GRF3643,8508192381,08/16/2017,10:32A,NO PARKING-DAY/TIME LIMITS,,65.00,75.00,0.00,HEARING HELD-GUILTY
45450MG,8510840003,08/25/2017,09:03A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
19227MC,8535066792,11/15/2017,09:34A,NO STANDING-DAY/TIME LIMITS,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
45450MG,8531076432,08/07/2017,04:16P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
13894JU,8503315658,09/12/2017,01:18P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
57273MD,8537189741,10/09/2017,11:48A,NO PARKING-DAY/TIME LIMITS,,60.00,60.00,0.00,HEARING HELD-GUILTY
13743JK,8504341999,09/12/2017,12:27P,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
28426JU,8578930174,09/18/2018,12:00P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
28426JU,8512446924,09/29/2017,11:02A,FIRE HYDRANT,,115.00,115.00,0.00,
57273MD,8517000511,02/15/2017,09:49A,NO STANDING-EXC. TRUCK LOADING,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
57273MD,8521000698,02/13/2017,02:28P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
65572JU,8560078617,08/11/2017,06:13P,EXPIRED MUNI METER,,35.00,0.00,0.00,HEARING HELD-NOT GUILTY
64999JV,8506889704,08/02/2017,11:07A,NO PARKING-DAY/TIME LIMITS,,65.00,65.00,0.00,
45450MG,8673342673,12/29/2018,07:14A,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
26364ME,8585793491,04/20/2019,01:04A,NGHT PKG ON RESID STR-COMM VEH,,65.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
28426JU,8563310227,06/29/2017,09:41A,NO PARKING-STREET CLEANING,,45.00,45.00,0.00,HEARING HELD-GUILTY
19227MC,8563316412,08/09/2017,11:41A,EXPIRED MUNI METER,,35.00,0.00,0.00,HEARING HELD-NOT GUILTY
11101JC,8563413818,07/10/2017,02:42P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
19227MC,8508438461,08/18/2017,04:05P,NO STOPPING-DAY/TIME LIMITS,,115.00,125.00,0.00,HEARING HELD-GUILTY
13894JU,8515292713,09/14/2017,10:14A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
65572JU,8545885568,11/06/2017,11:42A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
72226JM,5104793813,11/28/2018,02:02P,FAILURE TO STOP AT RED LIGHT,,50.00,50.00,0.00,
28426JU,8517086375,09/01/2017,09:55A,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,HEARING HELD-NOT GUILTY
19227MC,8576508886,07/19/2017,12:07P,FAIL TO DSPLY MUNI METER RECPT,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
65572JU,8576954916,07/21/2017,05:02P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
98853JZ,8515731204,10/03/2017,10:15A,INSP. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
13743JK,8074517974,01/24/2017,09:50A,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
65572JU,8566617903,08/10/2017,09:36A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
28427JU,8518591132,08/29/2017,09:12A,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,HEARING HELD-NOT GUILTY
11101JC,8563909058,10/23/2017,11:29A,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
64999JV,8574258430,08/14/2017,09:19A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
11101JC,8536494918,10/17/2017,09:01P,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,HEARING HELD-NOT GUILTY
11101JC,8577112342,08/08/2017,02:17P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
65572JU,8552594973,12/30/2017,11:20A,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
26364ME,8517996239,07/20/2017,01:05P,FAIL TO DSPLY MUNI METER RECPT,,65.00,0.00,0.00,ADMIN CLAIM GRANTED
65572JU,8565911445,07/13/2017,01:36A,STORAGE-3HR COMMERCIAL,,65.00,65.00,0.00,
13894JU,8566392772,11/15/2017,03:22A,STORAGE-3HR COMMERCIAL,,65.00,65.00,0.00,HEARING HELD-GUILTY
26364ME,8578916372,08/21/2017,11:13A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
11101JC,8478563003,02/08/2017,11:31A,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
72226JM,8590006554,09/06/2017,02:08P,CROSSWALK,,115.00,115.00,0.00,
65572JU,8522181937,08/24/2017,01:48P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
19227MC,8522240735,08/30/2017,10:11A,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,HEARING HELD-NOT GUILTY
48660JW,8522243992,09/13/2017,11:34A,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,HEARING HELD-NOT GUILTY
57273MD,8565045778,06/05/2018,02:32P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
91731JA,8515838059,09/14/2017,12:58P,EXPIRED MUNI MTR-COMM MTR ZN,,65.00,65.00,0.00,HEARING HELD-GUILTY
57273MD,8565510487,05/30/2018,03:10P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
57273MD,8615697383,02/27/2019,02:49P,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
64999JV,8556883060,10/20/2018,07:47A,NO PARKING-STREET CLEANING,,45.00,45.00,0.00,
91731JA,8520239808,09/14/2017,02:09P,BIKE LANE,,115.00,115.00,0.00,
48660JW,8490875777,03/01/2017,09:43A,FAIL TO DSPLY MUNI METER RECPT,,35.00,45.00,0.00,HEARING HELD-GUILTY
48660JW,8560601995,03/20/2018,09:58A,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
26364ME,8496150070,02/15/2017,12:07P,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
28427JU,8576339286,11/17/2017,10:50A,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
48660JW,8152580648,03/02/2017,01:30P,EXPIRED MUNI METER,,35.00,0.00,0.00,HEARING HELD-NOT GUILTY
65572JU,8558230651,10/05/2017,04:48P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
64999JV,8503816167,03/28/2017,09:57A,NO STANDING-BUS STOP,,115.00,115.00,0.00,
11101JC,8616218397,02/22/2019,10:02A,NO PARKING-DAY/TIME LIMITS,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
22409MB,8508265591,04/03/2017,11:00A,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
67300JV,8589596655,07/13/2018,11:36A,NO PARKING-DAY/TIME LIMITS,,65.00,95.00,0.00,
48549JW,8563283339,10/30/2017,11:48A,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
98853JZ,8564467811,02/27/2018,11:16A,FIRE HYDRANT,,115.00,115.00,0.00,
67300JV,8474920220,03/10/2017,12:34P,FIRE HYDRANT,,115.00,115.00,0.00,
19563MH,8511803993,02/24/2017,10:20A,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
28440JU,8563919556,01/11/2018,09:35A,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
28426JU,8512662311,04/20/2017,10:24A,NO STANDING-BUS STOP,,115.00,115.00,0.00,
26364ME,8481208061,02/10/2017,02:24P,FIRE HYDRANT,,115.00,115.00,0.00,
65572JU,8565937630,01/04/2018,03:05A,STORAGE-3HR COMMERCIAL,,65.00,65.00,0.00,HEARING HELD-GUILTY
65572JU,8565938864,01/13/2018,03:06A,STORAGE-3HR COMMERCIAL,,65.00,65.00,0.00,HEARING HELD-GUILTY
48549JW,8270559854,02/23/2017,01:31P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
98853JZ,8483854260,01/12/2017,01:08P,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
28426JU,8516361901,04/28/2017,10:52A,NO STANDING-BUS STOP,,115.00,115.00,0.00,
13894JU,8565393252,01/04/2018,00:14A,STORAGE-3HR COMMERCIAL,,65.00,65.00,0.00,HEARING HELD-GUILTY
84067JW,8486157304,02/08/2017,03:26P,BIKE LANE,,115.00,115.00,0.00,
57273MD,8518565650,04/21/2017,05:49P,FIRE HYDRANT,,115.00,115.00,0.00,
65572JU,8564147610,03/08/2018,01:08P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
71878JT,8533469068,08/31/2017,09:17A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
28426JU,8518714667,05/02/2017,02:13P,INSP. STICKER-EXPIRED/MISSING,,65.00,65.00,0.00,
41748MH,8561231191,10/17/2017,02:41P,DOUBLE PARKING,,115.00,0.00,0.00,HEARING HELD-NOT GUILTY
19227MC,8566175001,11/02/2017,09:39A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
71878JT,8536147027,08/29/2017,12:01P,EXPIRED MUNI METER,,35.00,0.00,0.00,ADMIN CLAIM GRANTED
57273MD,8589357788,10/19/2017,03:39P,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
41748MH,4653308366,02/08/2019,03:42P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
19227MC,8588380160,11/20/2017,01:32P,EXPIRED MUNI METER,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
71878JT,8537830215,08/30/2017,11:17A,FAIL TO DSPLY MUNI METER RECPT,,35.00,0.00,0.00,HEARING HELD-GUILTY
84067JW,8508160045,03/09/2017,10:41A,FIRE HYDRANT,,115.00,115.00,0.00,
84067JW,8508254842,02/03/2017,11:39A,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
28426JU,8479670824,05/17/2017,01:38P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
45450MG,8538429309,08/31/2017,09:16A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
22409MB,8538429334,08/31/2017,09:42A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
48660JW,8513500549,02/13/2017,10:09A,BIKE LANE,,115.00,125.00,0.00,
26364ME,8481609973,04/27/2017,01:27P,EXPIRED MUNI METER,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
11101JC,8477469271,05/08/2017,03:42P,FAIL TO DISP. MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
84067JW,8521801713,02/16/2017,03:22P,NO STANDING-BUS LANE,,115.00,115.00,0.00,
48660JW,8535601090,03/13/2017,03:19P,FAIL TO DISP. MUNI METER RECPT,,35.00,35.00,0.00,HEARING HELD-GUILTY
22409MB,8590920793,11/15/2017,04:06P,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
22409MB,8539880374,07/17/2017,02:02P,FAIL TO DSPLY MUNI METER RECPT,,35.00,0.00,0.00,ADMIN CLAIM GRANTED
57273MD,8479034245,05/17/2017,12:56P,EXPIRED MUNI MTR-COMM MTR ZN,,65.00,65.00,0.00,HEARING HELD-GUILTY
64999JV,4653842772,02/28/2019,04:01P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,
69065ME,8480669196,05/08/2017,11:05A,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
41748MH,8562795021,04/12/2018,10:24A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
13743JK,8611770791,03/19/2019,02:20P,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
71860JT,4653974457,03/05/2019,04:18P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,8592022253,01/03/2018,04:02P,NO PARKING-DAY/TIME LIMITS,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
28440JU,4653979005,03/01/2019,02:03P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
67300JV,8622786160,03/04/2019,11:14A,EXPIRED MUNI METER,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
71860JT,8622866658,02/25/2019,10:02A,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
22409MB,8495563538,05/15/2017,01:06P,NO STANDING-EXC. AUTH. VEHICLE,,95.00,0.00,0.00,HEARING HELD-NOT GUILTY
13894JU,8577178444,10/03/2017,04:00P,NO STOPPING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
11101JC,8576240737,01/25/2018,10:28A,FAIL TO DSPLY MUNI METER RECPT,,65.00,65.00,0.00,HEARING HELD-GUILTY
